"DATE_TIME" "LONGITUDE" "LATITUDE" "GEOHASH" "MINIMUM_SPEED" "MAXIMUM_SPEED" "AVERAGE_SPEED" "NUMBER_OF_VEHICLES"
"2021-03-03 04:00:00" 28.8226318359375 41.0147094726562 "sxk3rf" 10 53 32 17
"2021-03-03 07:00:00" 28.9984130859375 41.1575317382812 "sxkd5u" 44 76 56 19
"2021-03-04 11:00:00" 28.6798095703125 41.0311889648438 "sxk3kt" 2 61 23 136
"2021-03-01 21:00:00" 29.1851806640625 40.9103393554688 "sxkb8p" 4 85 43 87
"2021-03-01 18:00:00" 29.1961669921875 40.9652709960938 "sxkc03" 5 76 31 131
"2021-03-03 20:00:00" 29.2181396484375 40.8993530273438 "sxkb8v" 19 101 69 266
"2021-03-03 17:00:00" 28.8006591796875 40.9707641601562 "sxk3p6" 4 74 39 62
"2021-03-01 22:00:00" 29.1412353515625 40.9542846679688 "sxk8zp" 3 107 42 42
"2021-03-03 19:00:00" 28.9544677734375 41.1080932617188 "sxk9fg" 45 120 77 119
"2021-03-04 20:00:00" 29.1522216796875 41.2014770507812 "sxkdrk" 57 111 79 18
"2021-03-04 15:00:00" 29.0643310546875 41.0092163085938 "sxk9m3" 4 123 48 159
"2021-03-02 20:00:00" 28.8446044921875 40.9707641601562 "sxk906" 8 82 51 108
"2021-03-04 20:00:00" 29.2181396484375 40.8828735351562 "sxkb8f" 27 97 60 20
"2021-03-01 00:00:00" 29.3170166015625 40.9268188476562 "sxkbg4" 30 88 52 25
"2021-03-04 11:00:00" 29.2071533203125 40.9432983398438 "sxkbbt" 42 118 73 46
"2021-03-02 15:00:00" 28.8665771484375 41.0531616210938 "sxk98c" 2 101 29 438
"2021-03-03 19:00:00" 29.3170166015625 41.0806274414062 "sxkcen" 31 117 62 27
"2021-03-01 00:00:00" 28.6358642578125 41.0916137695312 "sxk3g8" 6 113 63 37
"2021-03-03 05:00:00" 28.9324951171875 40.9982299804688 "sxk94r" 7 89 44 15
"2021-03-01 17:00:00" 29.1851806640625 40.9927368164062 "sxkc0n" 2 104 33 601
"2021-03-04 14:00:00" 28.8116455078125 41.1135864257812 "sxk3zs" 44 167 89 120
"2021-03-01 19:00:00" 28.8116455078125 41.2344360351562 "sxk6xd" 26 141 80 105
"2021-03-04 07:00:00" 28.6798095703125 41.0531616210938 "sxk3s9" 1 143 51 566
"2021-03-02 17:00:00" 28.6798095703125 41.0531616210938 "sxk3s9" 4 124 44 421
"2021-03-04 19:00:00" 28.0316162109375 41.0421752929688 "sx7cmz" 18 125 82 34
"2021-03-03 14:00:00" 29.0423583984375 41.1520385742188 "sxkdhg" 13 57 34 38
"2021-03-04 14:00:00" 29.2730712890625 41.0202026367188 "sxkc65" 29 161 91 153
"2021-03-04 01:00:00" 28.2073974609375 41.1245727539062 "sxk1cy" 6 83 47 22
"2021-03-04 12:00:00" 28.4271240234375 41.1740112304688 "sxk4nz" 65 137 91 36
